City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Victoria,HK,22.2855,114.1577,89.96,81,91,4.0,overcast clouds
79,Kiunga,PG,-6.1219,141.2906,78.08,90,100,3.38,overcast clouds
80,Te Anau,NZ,-45.4167,167.7167,46.06,69,100,1.36,overcast clouds
81,Robertson,US,36.5167,-86.8667,85.98,75,75,5.75,broken clouds
82,Turbiv,UA,49.3479,28.7212,69.03,65,100,11.95,overcast clouds
83,Zyryanka,RU,65.75,150.85,50.85,57,100,4.38,overcast clouds
84,Gorontalo,ID,0.5412,123.0595,86.86,60,66,6.55,broken clouds
85,Whitecourt,CA,54.1502,-115.6855,76.24,38,20,8.05,few clouds
86,North Augusta,US,33.5018,-81.9651,85.14,66,20,3.44,few clouds
87,Vaini,TO,-21.2,-175.2,75.36,78,75,13.8,broken clouds
88,Constitucion,CL,-35.3333,-72.4167,49.46,73,99,11.07,overcast clouds
89,Port Alfred,ZA,-33.5906,26.891,55.44,64,95,26.71,light rain
90,Vallenar,CL,-28.5708,-70.7581,56.66,70,73,1.21,broken clouds
91,Bowmore,US,34.9421,-79.3031,80.74,54,0,4.61,clear sky
92,Dzaoudzi,YT,-12.7887,45.2699,73.29,83,0,5.75,clear sky
93,Pangoa,PE,-12.1167,-73.0,69.06,88,44,2.93,scattered clouds
94,Sabang,ID,5.8933,95.3214,82.78,70,64,9.35,broken clouds
95,Bathsheba,BB,13.2167,-59.5167,83.01,78,75,8.05,broken clouds
96,Alofi,NU,-19.0595,-169.9187,75.09,73,97,21.85,overcast clouds
97,Japura,ID,-0.3167,102.35,83.48,74,96,2.53,overcast clouds
98,Abha,SA,18.2164,42.5053,64.65,88,0,0.0,clear sky
99,Provideniya,RU,64.3833,-173.3,55.51,58,0,13.0,clear sky
100,Salalah,OM,17.0151,54.0924,73.49,100,100,8.05,drizzle
101,Phanat Nikhom,TH,13.4458,101.1844,88.09,33,100,4.25,overcast clouds
102,Saint-Leu,RE,-21.15,55.2833,69.31,69,1,0.69,clear sky
103,Broome,US,42.2506,-75.833,73.62,56,100,9.22,overcast clouds
104,Iisalmi,FI,63.5592,27.1907,57.49,88,14,3.71,few clouds
105,Laguna,US,38.421,-121.4238,100.65,15,0,1.99,clear sky
106,Lyudinovo,RU,53.8664,34.4478,60.64,84,64,5.7,broken clouds
107,Sur,OM,22.5667,59.5289,87.75,59,52,9.48,broken clouds
108,Mayo,US,38.8876,-76.5119,75.99,78,75,6.91,broken clouds
109,Sobolevo,RU,54.4299,31.8996,60.58,92,35,6.4,scattered clouds
110,Luderitz,NA,-26.6481,15.1594,53.44,60,5,10.02,clear sky
111,Kirkland Lake,CA,48.1446,-80.0377,66.49,82,79,1.16,broken clouds
112,Upernavik,GL,72.7868,-56.1549,42.12,82,100,6.31,overcast clouds
113,Puksoozero,RU,62.5903,40.6066,52.12,79,15,4.72,few clouds
114,Fort Nelson,CA,58.8053,-122.7002,67.59,88,75,5.75,broken clouds
115,Haines Junction,CA,60.7522,-137.5108,58.95,67,100,6.91,overcast clouds
116,Kavieng,PG,-2.5744,150.7967,83.05,67,100,5.66,overcast clouds
117,Husavik,IS,66.0449,-17.3389,43.02,77,43,7.16,scattered clouds
118,Walvis Bay,NA,-22.9575,14.5053,47.35,93,5,6.91,clear sky
119,Torbay,CA,47.6666,-52.7314,70.75,96,100,9.22,overcast clouds
120,Namatanai,PG,-3.6667,152.4333,83.61,70,100,3.04,overcast clouds
121,Na Wa,TH,17.4897,104.1006,86.23,74,48,5.75,scattered clouds
122,Tessalit,ML,20.1986,1.0114,92.82,13,15,7.72,few clouds
123,Georgetown,MY,5.4112,100.3354,83.89,86,40,3.44,scattered clouds
124,Verkhnyaya Inta,RU,65.9811,60.3094,46.09,82,100,11.88,overcast clouds
125,Sitka,US,57.0531,-135.33,57.09,94,100,4.61,heavy intensity rain
126,Leh,IN,34.1667,77.5833,65.25,54,71,6.02,broken clouds
127,Mach,PK,29.8637,67.3298,75.96,77,98,1.45,overcast clouds
128,Bredasdorp,ZA,-34.5322,20.0403,42.31,73,20,4.29,few clouds
129,Mirabad,AF,30.4362,61.8383,85.19,18,94,14.72,overcast clouds
130,Sao Filipe,CV,14.8961,-24.4956,77.02,74,5,7.4,clear sky
131,Olafsvik,IS,64.8945,-23.7142,46.58,71,21,6.6,few clouds
132,Mahebourg,MU,-20.4081,57.7,67.24,94,75,13.8,broken clouds
133,Caravelas,BR,-17.7125,-39.2481,67.93,82,70,5.39,broken clouds
134,Takhtamygda,RU,54.1,123.5667,72.7,54,35,1.28,scattered clouds
135,Fukue,JP,32.6881,128.8419,86.36,84,75,11.5,broken clouds
136,Xichang,CN,27.8964,102.2634,74.3,80,50,1.72,scattered clouds
137,Kidal,ML,18.4411,1.4078,92.52,14,100,9.46,overcast clouds
138,Florida,US,28.7505,-82.5001,78.91,91,40,0.0,scattered clouds
139,Kyaikkami,MM,16.08,97.5675,81.75,77,100,3.33,light rain
140,Faanui,PF,-16.4833,-151.75,78.75,74,14,13.51,few clouds
141,Esperance,AU,-33.8667,121.9,58.53,64,0,13.56,clear sky
142,Fort Saint James,CA,54.4333,-124.25,70.54,48,64,5.97,broken clouds
143,Lazaro Cardenas,MX,17.9583,-102.2,80.02,78,95,2.13,overcast clouds
144,Geraldton,AU,-28.7667,114.6,59.41,82,0,8.05,clear sky
145,Dikson,RU,73.5069,80.5464,43.79,93,100,5.79,overcast clouds
146,Isangel,VU,-19.55,169.2667,80.71,74,100,11.5,overcast clouds
147,Lebu,CL,-37.6167,-73.65,44.8,77,32,10.63,scattered clouds
148,Komsomolskiy,UZ,40.4272,71.7189,77.72,41,53,4.61,broken clouds
149,Clyde River,CA,70.4692,-68.5914,43.03,93,20,5.75,few clouds
150,Saint George,US,37.1041,-113.5841,82.99,51,40,17.27,scattered clouds
151,Pacific Grove,US,36.6177,-121.9166,75.24,81,40,10.0,scattered clouds
152,Baneh,IR,35.9975,45.8853,69.26,28,0,2.89,clear sky
153,Pemba,MZ,-12.974,40.5178,73.22,82,10,9.69,clear sky
154,Tocopilla,CL,-22.092,-70.1979,58.66,68,14,6.15,few clouds
155,Banjar,ID,-8.19,114.9675,84.49,72,26,0.54,scattered clouds
156,Kayerkan,RU,69.3497,87.7602,60.53,63,97,5.61,overcast clouds
157,Ancud,CL,-41.8697,-73.8203,43.23,77,20,15.57,light rain
158,Ponta Do Sol,PT,32.6667,-17.1,74.01,75,0,2.42,clear sky
159,Severo-Kurilsk,RU,50.6789,156.125,57.83,98,100,23.55,moderate rain
160,Ust-Nera,RU,64.5667,143.2,66.42,58,100,5.1,light rain
161,Desaguadero,PE,-16.5656,-69.0417,45.95,47,6,2.98,clear sky
162,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,100,14.97,overcast clouds
163,Tuatapere,NZ,-46.1333,167.6833,52.16,61,100,4.61,overcast clouds
164,Saldanha,ZA,-33.0117,17.9442,42.85,72,4,6.62,clear sky
165,Sotnikovo,RU,51.8845,107.4791,68.09,56,56,2.24,broken clouds
166,Toledo,ES,39.8333,-4.0,67.26,31,1,3.69,clear sky
167,Sumbe,AO,-11.2061,13.8437,66.7,95,17,5.28,few clouds
168,Lincoln,US,40.8,-96.667,80.51,57,0,14.97,clear sky
169,Khatanga,RU,71.9667,102.5,62.8,45,8,7.16,clear sky
170,Seoul,KR,37.5683,126.9778,85.6,79,75,16.11,moderate rain
171,Cabedelo,BR,-6.9811,-34.8339,72.27,73,14,13.4,few clouds
172,Araouane,ML,18.9048,-3.5265,96.06,23,35,7.18,scattered clouds
173,Berlevag,NO,70.8578,29.0864,46.4,87,94,11.5,overcast clouds
174,Hithadhoo,MV,-0.6,73.0833,82.81,73,29,8.32,scattered clouds
175,Gasa,PS,31.5,34.4667,70.88,70,0,2.82,clear sky
176,Castro,BR,-24.7911,-50.0119,55.98,67,0,4.88,clear sky
177,Ketchikan,US,55.3422,-131.6461,59.47,94,100,12.66,light rain
178,Mabaruma,GY,8.2,-59.7833,72.86,96,35,3.13,scattered clouds
