City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Ust-Nera,RU,66.42,light rain,64.5667,143.2,Hotel Ust-Nera
165,Sotnikovo,RU,68.09,broken clouds,51.8845,107.4791,Malinki
166,Toledo,ES,67.26,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
167,Sumbe,AO,66.7,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
168,Lincoln,US,80.51,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
171,Cabedelo,BR,72.27,few clouds,-6.9811,-34.8339,Pousada Camboinha
174,Hithadhoo,MV,82.81,scattered clouds,-0.6,73.0833,Scoop Guest House
175,Gasa,PS,70.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
178,Mabaruma,GY,72.86,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
179,Harper,LR,74.05,light rain,4.375,-7.7169,Screensaver
181,Haapiti,PF,82.13,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
182,Lorengau,PG,84.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
188,Astaneh-Ye Ashrafiyeh,IR,73.33,clear sky,37.2596,49.9444,Hotel Farrokhi هتل فرخی
191,Guerrero Negro,MX,74.08,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
195,Hobyo,SO,76.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
196,Port Macquarie,AU,65.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
197,Kitimat,CA,70.18,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
198,Tra Vinh,VN,83.46,light rain,9.9347,106.3453,Hồng Ân
205,Lebork,PL,65.75,scattered clouds,54.5392,17.7501,Vega
206,Harlingen,US,82.35,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
207,Pumiao,CN,82.8,scattered clouds,22.75,108.4833,Mushang Boutique Hotel
208,Halifax,CA,66.52,overcast clouds,44.6453,-63.5724,Hotel Halifax
209,Stafford,GB,70.72,scattered clouds,52.8052,-2.1164,The Swan Hotel
210,Coahuayana,MX,77.56,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
211,Muli,MV,81.1,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
213,Arrecife,ES,73.38,clear sky,28.963,-13.5477,Hotel Lancelot
214,Axim,GH,74.82,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
215,Saint Anthony,US,69.82,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
218,Nauta,PE,72.45,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
221,Bolshaya Martynovka,RU,77.13,clear sky,47.271,41.6679,Gostinitsa
222,La Ronge,CA,73.65,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
224,Dera Bugti,PK,82.27,few clouds,29.0307,69.151,Nawab Bugti House
228,Villa Del Rosario,CO,77.38,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
231,Qui Nhon,VN,84.06,overcast clouds,13.7667,109.2333,Seagull Hotel
235,Sao Joao Da Barra,BR,69.93,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
238,Lompoc,US,65.84,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
240,Eirunepe,BR,76.71,scattered clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
241,Ravar,IR,79.39,clear sky,31.2656,56.8055,computertik
245,Bang Saphan,TH,84.43,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
246,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
247,Grand Gaube,MU,67.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
248,Zeya,RU,72.93,clear sky,53.75,127.2667,Kapital Inn
253,Zaysan,KZ,73.67,clear sky,47.4667,84.8667,Ерлан үй
258,Rubi,ES,79.2,clear sky,41.4923,2.033,B&B Hotel Barcelona Rubí
260,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
261,Greer,US,80.35,scattered clouds,34.9387,-82.2271,Quality Inn
264,Ormara,PK,81.97,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
266,San Patricio,US,84.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
268,Marfino,RU,67.95,clear sky,55.7028,37.3822,Nemchinovka-Park
270,Rio Blanco,MX,67.35,overcast clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
275,Olga,RU,72.45,moderate rain,43.7444,135.2892,Gostinitsa Rosmorport.
279,Winslow,US,80.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
280,Santiago Del Estero,AR,72.18,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
281,Aguimes,ES,70.43,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
282,Charters Towers,AU,70.23,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
283,Praia Da Vitoria,PT,77.25,broken clouds,38.7333,-27.0667,Hotel Branco I
284,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
285,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
286,Norman Wells,CA,77.04,broken clouds,65.282,-126.8329,Heritage Hotel
287,Alyangula,AU,77.13,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
288,Sabha,LY,82.89,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
291,Biltine,TD,75.87,moderate rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
292,Kolaras,IN,74.61,overcast clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
293,Kirakira,SB,83.43,broken clouds,-10.4544,161.9205,SanBiz Lodge
295,Darlowo,PL,67.01,few clouds,54.421,16.4107,Hotel Lidia SPA & Wellness
301,Ternate,ID,80.35,light rain,0.8,127.4,Sahid Bela Ternate Hotel
302,Cockburn Town,TC,82.44,clear sky,21.4612,-71.1419,Osprey Beach Hotel
303,San Quintin,MX,72.97,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
305,Tayu,ID,84.2,scattered clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
307,Nemuro,JP,68.29,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
309,Moron,AR,66.99,broken clouds,-34.6534,-58.6198,Hotel Morón
311,Bayan,CN,74.89,broken clouds,46.0833,127.4,Wanhao Inn
313,Methala,IN,73.4,overcast clouds,10.2166,76.2166,Style Homes Holiday Inn
316,Bambous Virieux,MU,67.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
317,Flin Flon,CA,67.89,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
319,Pontes E Lacerda,BR,74.79,broken clouds,-15.2261,-59.3353,Hotel Bressan
321,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
322,Dingle,PH,81.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
323,Akhtubinsk,RU,76.89,few clouds,48.2795,46.1722,Vzlet
324,Pasni,PK,80.92,light rain,25.2631,63.471,Kashmiri Hotal
328,Pitimbu,BR,72.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
329,Cape Coast,GH,74.32,light rain,5.1053,-1.2466,Samrit Hotel
330,Pogar,RU,65.39,overcast clouds,52.554,33.2591,"Gostinitsa ""U Gamleta"""
334,Dwarka,IN,80.67,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
335,Bundaberg,AU,68.67,clear sky,-24.85,152.35,Takalvan Motel
336,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
337,Sioux Lookout,CA,68.07,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
341,Tezu,IN,77.07,overcast clouds,27.9167,96.1667,Circuit House
342,Smithers,CA,70.12,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
346,Lingyuan,CN,76.57,broken clouds,41.24,119.4011,Guomao Hotel
348,Binghamton,US,73.92,overcast clouds,42.0987,-75.918,"Holiday Inn Binghamton Downtown, an IHG Hotel"
349,Marivan,IR,73.49,clear sky,35.5219,46.176,Teacher's House
353,Esqueda,MX,69.87,light rain,30.7167,-109.5833,Hotel Esqueda
354,Hamilton,US,72.9,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
355,Grand-Santi,GF,71.65,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
359,Lander,US,67.98,overcast clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
360,Mayumba,GA,68.31,few clouds,-3.432,10.6554,LIKWALE LODGE
361,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
362,Tevaitoa,PF,78.75,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
364,Atar,MR,84.74,overcast clouds,20.5169,-13.0499,Oumou Elghoura
365,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
367,Stralsund,DE,68.05,scattered clouds,54.3091,13.0818,IntercityHotel Stralsund
368,Ipixuna,BR,74.07,few clouds,-1.7625,-48.8043,Chalé do Mato
369,Forest,US,69.85,overcast clouds,37.3638,-79.2897,Days inn
370,Payo,ID,82.9,overcast clouds,-3.7508,103.6372,Mess keban agung
372,Kuching,MY,80.82,few clouds,1.55,110.3333,Hilton Kuching
373,Marsh Harbour,BS,83.8,broken clouds,26.5412,-77.0636,Abaco Beach Resort
377,San Policarpo,PH,82.18,overcast clouds,12.1791,125.5072,Agapita M. Nicart
378,Catio,GW,75.6,moderate rain,11.2833,-15.25,Pausada Morabedja
384,Salinas,US,81.21,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
385,Mbaiki,CF,69.91,overcast clouds,3.8678,17.9892,Motel MBM
386,Novopavlovka,RU,71.65,clear sky,51.2172,109.2091,Vizit
387,Nurota,UZ,77.88,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
388,Waingapu,ID,84.9,clear sky,-9.6567,120.2641,Pondok Wisata Elim
389,Belmonte,BR,69.62,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
390,Kulu,TR,74.07,clear sky,39.0951,33.0799,Kapadokya Motel
392,La Ciotat,FR,73.81,clear sky,43.1748,5.6045,ibis La Ciotat
393,Souris,CA,80.46,overcast clouds,49.6172,-100.2612,The Souris Hotel
397,Mapiripan,CO,71.2,scattered clouds,2.8892,-72.1256,Monserrate
398,Erzin,TR,74.91,scattered clouds,36.9559,36.2,Artemis Otel
401,Sibenik,HR,67.66,clear sky,43.7272,15.9058,Hotel Jadran
402,Den Helder,NL,71.98,mist,52.9599,4.7593,Hotel Den Helder
403,Uberlandia,BR,69.01,clear sky,-18.9186,-48.2772,Hotel Apollo
405,Lagoa,PT,73.98,clear sky,39.05,-27.9833,Casa Das Faias
409,Monaragala,LK,80.51,overcast clouds,6.8714,81.3487,Silanrich Hotel
410,Prince Rupert,CA,66.29,scattered clouds,54.3161,-130.3201,Crest Hotel
411,The Pas,CA,71.62,scattered clouds,53.8251,-101.2541,Wescana Inn
415,Noto,IT,72.59,clear sky,36.8901,15.0693,Grand Hotel Sofia
416,Buenos Aires,AR,66.97,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
417,Terra Santa,BR,73.98,overcast clouds,-2.1042,-56.4869,Hotel Sarah
418,Polson,US,82.78,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
419,Kamaishi,JP,79.34,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
420,Mahina,PF,82.17,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
422,Tomatlan,MX,76.05,overcast clouds,19.9333,-105.25,El Salvial
423,Pontianak,ID,82.38,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
424,Waspan,NI,75.56,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
429,Honiara,SB,83.82,scattered clouds,-9.4333,159.95,Heritage Park Hotel
434,Capitan Bado,PY,69.98,clear sky,-23.2667,-55.5333,Hotel Suiza
435,Samarai,PG,83.41,scattered clouds,-10.6167,150.6667,Nuli Sapi
439,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
440,Newport,GB,70.68,few clouds,51.5877,-2.9984,ibis budget Newport
441,Bubaque,GW,78.31,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
443,Yatou,CN,84.43,moderate rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
446,Gazli,UZ,81.3,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
447,Quang Ngai,VN,84.58,overcast clouds,15.1167,108.8,Central Hotel
448,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
449,Lufilufi,WS,82.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
452,Nabire,ID,82.35,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
453,Carroll,US,71.87,overcast clouds,39.5501,-77.0164,Best Western Westminster Hotel
454,Palmer,US,71.15,few clouds,42.1584,-72.3287,Wedgewood Motel
455,Jinchang,CN,75.31,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
458,Sedro-Woolley,US,78.57,clear sky,48.5039,-122.2361,Natural Resources Department
459,Narasannapeta,IN,80.19,moderate rain,18.4167,84.05,AVK events and catering
462,Ainazi,LV,65.52,overcast clouds,57.8636,24.3578,Ikla Hostel
464,Gondanglegi,ID,83.32,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
465,Soller,ES,82.85,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
466,San Felipe,VE,71.46,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
472,Westfield,US,71.11,clear sky,42.1251,-72.7495,Quality Inn
474,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
475,Langsa,ID,79.7,heavy intensity rain,4.4683,97.9683,OYO 3328 Hotel Mori
477,Baltoji Voke,LT,68.45,clear sky,54.6,25.2,"AUKSINĖ AVIS, UAB"
480,Sao Felix Do Xingu,BR,74.16,few clouds,-6.6447,-51.995,Rio Xingu Camping
483,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
484,Catumbela,AO,65.82,clear sky,-12.4314,13.5472,Hotel Do Kamgamba
485,Churapcha,RU,70.83,overcast clouds,62.0025,132.4325,"""Tusku"""
487,Kenora,CA,74.37,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
488,Carutapera,BR,75.24,broken clouds,-1.195,-46.02,Lidera
489,Lethem,GY,77.85,overcast clouds,3.3803,-59.7968,Savannah Inn
490,La Primavera,CO,74.66,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
492,Santa Marta,CO,78.85,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
